Date,Open,High,Low,Close,Adj Close,Volume
2019-03-13,138.050003,139.320007,137.850006,138.559998,135.338776,3173200
2019-03-14,138.509995,138.940002,138.059998,138.789993,135.563431,2738600
2019-03-15,139.369995,140.330002,139.229996,139.429993,136.188538,7153700
2019-03-18,139.830002,140.369995,138.720001,140.210007,136.950424,3268500
2019-03-19,140.960007,141.699997,140.000000,140.490005,137.223907,3482300
2019-03-20,140.529999,140.699997,138.979996,139.600006,136.354614,3649500
2019-03-21,139.100006,142.119995,138.880005,141.440002,138.151825,3605400
2019-03-22,140.970001,141.440002,138.899994,139.449997,136.208084,3877200
2019-03-25,139.059998,139.910004,138.350006,139.179993,135.944351,2839800
2019-03-26,139.929993,141.020004,139.419998,140.220001,136.960190,2553700
2019-03-27,140.410004,140.490005,138.399994,139.240005,136.002975,3098200
2019-03-28,139.910004,140.440002,139.100006,139.919998,136.667160,2663900
2019-03-29,140.500000,141.220001,140.149994,141.100006,137.819733,3101400
2019-04-01,141.509995,143.410004,141.509995,143.300003,139.968582,3984300
2019-04-02,143.350006,143.949997,142.600006,143.000000,139.675552,2404800
2019-04-03,143.649994,144.220001,143.009995,143.630005,140.290909,2681200
2019-04-04,143.619995,144.139999,142.539993,142.779999,139.460663,2771100
2019-04-05,143.289993,143.500000,142.460007,143.279999,139.949051,2731800
2019-04-08,143.020004,143.419998,142.869995,143.389999,140.056488,2118200
2019-04-09,142.660004,142.949997,141.839996,142.110001,138.806259,3038500
2019-04-10,142.199997,143.500000,141.979996,143.020004,139.695099,2678000
2019-04-11,143.800003,144.110001,143.029999,143.779999,140.437424,2942000
2019-04-12,144.259995,144.440002,143.699997,144.350006,140.994171,2898900
2019-04-15,144.399994,144.460007,143.270004,143.899994,140.554626,3603200
2019-04-16,144.399994,145.389999,144.020004,145.139999,141.765808,6301700
2019-04-17,137.369995,141.979996,136.259995,139.110001,135.875992,12525700
2019-04-18,139.000000,140.490005,138.699997,140.330002,137.067627,4960000
2019-04-22,139.419998,140.559998,138.479996,138.889999,135.661102,4494000
2019-04-23,139.149994,140.919998,138.940002,140.440002,137.175064,4462200
2019-04-24,140.600006,141.309998,139.779999,139.949997,136.696457,2774900
2019-04-25,139.699997,139.750000,137.710007,138.630005,135.407150,2910100
2019-04-26,139.339996,139.889999,138.809998,139.440002,136.198318,2319800
2019-04-29,139.149994,139.630005,138.809998,139.050003,135.817383,2958300
2019-04-30,139.110001,140.440002,138.679993,140.270004,137.009018,4638800
2019-05-01,140.550003,141.809998,140.169998,140.559998,137.292282,3053700
2019-05-02,140.500000,141.279999,139.410004,139.589996,136.344818,3541400
2019-05-03,139.699997,141.000000,139.630005,140.250000,136.989487,2579900
2019-05-06,138.300003,140.690002,137.899994,140.380005,137.116470,2793300
2019-05-07,139.149994,139.509995,136.190002,137.639999,134.440170,4726800
2019-05-08,137.770004,138.699997,137.130005,138.000000,134.791794,3818900
2019-05-09,134.889999,135.580002,133.029999,135.339996,133.763901,4192700
2019-05-10,134.880005,135.750000,132.419998,135.320007,133.744141,3977600
2019-05-13,133.279999,133.570007,130.960007,131.419998,129.889557,4958000
2019-05-14,131.820007,134.320007,131.679993,133.309998,131.757538,3280400
2019-05-15,132.589996,134.589996,132.369995,134.399994,132.834854,2551000
2019-05-16,134.740005,136.110001,134.639999,135.880005,134.297623,3017300
2019-05-17,134.679993,135.410004,133.940002,134.320007,132.755798,2619100
2019-05-20,133.529999,135.429993,132.929993,135.119995,133.546463,3264500
2019-05-21,136.119995,137.059998,135.789993,136.449997,134.860977,2503500
2019-05-22,136.000000,136.750000,135.710007,136.350006,134.762146,1849800
2019-05-23,135.130005,135.130005,130.440002,132.389999,130.848267,5343400
